;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Рентаб EBITDA, %";;;;;;-1.8%;9.9%;26.8%;43.0%;55.5%;58.4%;44.6%;31.8%;63.8%;45.7%;32.7%;5.0%;-3.2%
"Чистая рентаб, %";;;;;;-23.2%;-81.7%;-17.9%;32.2%;38.8%;43.0%;22.2%;28.5%;41.4%;30.3%;18.6%;-7.3%;-15.4%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;5.2%;20.3%;15.9%;32.4%;22.2%;25.1%;8.7%;15.0%;33.6%;1.9%;-12.9%;-16.3%
"ROE, %";;;;;;-14.0%;-86.7%;-58.1%;51.4%;49.0%;42.4%;18.3%;16.1%;59.6%;35.3%;17.1%;-6.2%;-11.6%
"ROA, %";;;;;;;;-6.7%;11.9%;24.0%;25.8%;13.5%;6.3%;30.1%;26.9%;13.3%;-4.7%;-8.6%
P/E;;;;;;-5.26;-1.17;-4.88;5.63;3.37;3.25;5.49;8.40;5.03;2.57;8.32;-14.7;-5.47
P/FCF;;;;;;;19.3;4.94;6.29;3.08;4.51;3.98;11.5;6.68;2.97;53.4;-7.76;-6.14
P/S;;;;;;1.22;0.96;0.87;1.81;1.31;1.40;1.22;2.39;2.08;0.78;1.55;1.08;0.84
P/BV;;;;;;0.73;1.01;2.83;2.89;1.65;1.38;1.00;1.35;3.00;0.91;1.42;0.91;0.63
EV/EBITDA;;;;;;-119.5;25.5;7.42;6.04;2.26;2.27;1.44;4.52;3.27;1.40;4.26;20.4;-24.3
Долг/EBITDA;;;;;;-52.0;15.9;4.16;1.82;-0.10;-0.12;-1.29;-3.00;0.00;-0.31;-0.49;-1.10;2.39
"Персонал, чел";;;;;;;;"2 887";;;;"6 087";"6 003";;;;;
"Производительность труда, млн руб/чел/год";;;;;;;;8.35;;;;10.1;7.44;;;;;
"Расходы/чел/год, тыс.р";;;;;;;;"2 276";;;;"1 239";"1 373";;;;;
"R&D/CAPEX, %";;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;;0%;0%;9%;8%;7%;5%;8%;9%;10%;8%;10%;17%;18%
"Качество фин.отчетности";;;;;;;;;;;;;;;5;5;5;5
"Презентации для инвесторов";;;;;;;;;;;;;;;5;5;5;5
"Присутствие на смартлабе";;;;;;;;;;;;;;;1;1;1;1
"Сайт для инвесторов";;;;;;;;;;;;;;;5;5;5;5
"Календарь инвесторов";;;;;;;;;;;;;;;5;5;5;5
