;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Див доход, ао, %";0.6%;0.7%;0.8%;0.8%;20.1%;0.0%;19.7%;0.0%;18.7%;15.0%;0.7%;8.0%;17.7%;6.7%;10.5%;11.2%
"Дивиденды/прибыль, %";;;;0%;0%;0%;59%;0%;149%;43%;24%;;43%;50%;48%;49%
"Опер. расходы, млрд руб";;;;;;;;;18.4;15.4;16.0;;19.4;24.3;23.0;21.2
"Себестоимость, млрд руб";;;;13.5;14.0;14.5;14.4;;;;;;;;;
"Амортизация, млрд руб";;;;;;;;;;;;;6.3;6.3;6.4;6.3
"Расх на персонал, млрд руб";;;;;;3.82;4.17;6.25;5.25;5.46;6.07;;6.56;7.22;8.56;9.54
"Процентные расходы, млрд руб";;;;;4.62;5.58;5.06;4.06;4.52;5.88;4.40;;2.59;2.28;1.13;1.27
"Активы, млрд руб";;;;;;128.5;132.4;127.3;138.4;186.4;161.3;;179.5;192.7;220.0;246.8
"Чистые активы, млрд руб";;;;35.5;15.1;5.65;35.2;46.0;50.9;101.5;81.3;;130.4;145.7;169.4;173.5
"Долг, млрд руб";;;;70.6;96.9;109.4;84.3;68.7;69.7;49.9;44.5;;10.1;4.43;10.5;14.2
"Наличность, млрд руб";;;;13.8;17.5;7.92;14.2;7.00;12.0;26.8;14.1;;20.1;29.0;38.8;61.6
"Чистый долг, млрд руб";0.00;0.00;0.00;56.8;79.4;101.5;70.1;61.7;57.7;23.0;30.4;0.00;-9.98;-24.6;-28.3;-47.4
"Цена акции ао, руб";4.11;3.18;2.85;2.83;1.16;3.76;6.59;7.85;6.85;8.99;8.10;6.76;4.50;11.6;9.10;8.58
"Число акций ао, млн";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260";"19 260"
"Free Float, %";;;;;;;;8.00%;7.00%;;13.8%;;;;;
"Капитализация, млрд руб";79.2;61.2;54.9;54.5;22.3;72.4;126.9;151.2;131.9;173.1;156.0;130.1;86.7;223.0;175.3;165.2
"EV, млрд руб";79.2;61.2;54.9;111.3;101.8;173.9;197.0;212.9;189.7;196.2;186.4;130.1;76.7;198.5;147.0;117.9
"Баланс стоимость, млрд руб";0.00;0.00;0.00;-1.49;-20.5;-29.9;-0.39;10.5;15.3;70.7;50.5;0.00;130.4;114.7;138.2;142.3
"EPS, руб";0.00;0.00;0.00;-0.18;-1.03;0.70;2.20;1.33;0.86;3.16;0.25;0.00;1.79;1.54;1.94;1.92
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.30;0.74;0.00;1.31;1.52;1.19;1.20
"BV/акцию, руб";0.00;0.00;0.00;-0.08;-1.06;-1.55;-0.02;0.54;0.79;3.67;2.62;0.00;6.77;5.95;7.17;7.39
"Рентаб EBITDA, %";;;;0.0%;-47.2%;73.8%;75.1%;72.7%;69.0%;80.8%;67.4%;;64.9%;64.1%;67.7%;70.2%
"Чистая рентаб, %";;;;-11.8%;-54.5%;25.4%;73.1%;48.8%;27.8%;108.4%;10.6%;;62.7%;43.9%;52.6%;51.8%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;25.6%;9.2%;0.0%;29.1%;13.1%;13.1%;14.0%
"ROE, %";;;;-9.9%;-131.1%;240.0%;120.7%;55.7%;32.6%;59.9%;6.0%;;26.5%;20.3%;22.1%;21.3%
"ROA, %";;;;;;10.5%;32.1%;20.1%;12.0%;32.6%;3.0%;;19.2%;15.4%;17.0%;15.0%
P/E;;;;-15.6;-1.13;5.34;2.99;5.90;7.96;2.85;32.2;;2.51;7.52;4.69;4.48
P/FCF;;;;;;;;;;3.90;10.9;;3.43;7.63;7.66;7.14
P/S;;;;1.84;0.61;1.35;2.19;2.88;2.21;3.09;3.42;;1.57;3.31;2.46;2.32
P/BV;;;;-36.7;-1.09;-2.42;-322.1;14.4;8.62;2.45;3.09;;0.66;1.94;1.27;1.16
EV/EBITDA;;;;;-5.93;4.41;4.52;5.58;4.61;4.33;6.07;;2.15;4.59;3.05;2.36
Долг/EBITDA;;;;;-4.63;2.57;1.61;1.62;1.40;0.51;0.99;;-0.28;-0.57;-0.59;-0.95
"Персонал, чел";;;;;"6 914";"7 014";"7 158";;"3 405";"3 420";"3 364";"3 318";"3 246";"3 103";"3 025";
"Производительность труда, млн руб/чел/год";;;;;5.25;7.62;8.11;;17.5;16.4;13.6;0.00;17.0;21.7;23.5;
"Расходы/чел/год, тыс.р";;;;;0.00;543.9;582.7;;"1 541";"1 596";"1 804";0.00;"2 021";"2 327";"2 830";
"R&D/CAPEX, %";;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;0%;0%;7%;11%;17%;9%;9%;16%;;10%;9%;28%;33%
"IR рейтинг";;;;;;;;;;;;2.1;2.1;2.1;2.1;2.1
"Качество фин.отчетности";;;;;;;;;;;;3;3;3;3;3
"Презентации для инвесторов";;;;;;;;;;;;1;1;1;1;1
"Присутствие на смартлабе";;;;;;;;;;;;1;1;1;1;1
"Годовой отчет";;;;;;;;;;;;5;5;5;5;5
"Сайт для инвесторов";;;;;;;;;;;;2;2;2;2;2
"Календарь инвесторов";;;;;;;;;;;;2;2;2;2;2
"Обратная связь";;;;;;;;;;;;1;1;1;1;1
