;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Опер. расходы, млрд руб";;;;;;12.3;14.7;11.5;16.7;16.8;16.3;21.1;25.0;32.4;33.6;34.1
"Себестоимость, млрд руб";;;;41.4;66.3;60.7;77.8;104.6;104.8;77.1;79.0;77.8;80.3;141.3;139.8;150.5
"Амортизация, млрд руб";;;;;;;;;;;;;1.9;1.9;2.1;2.2
"Расх на персонал, млрд руб";;;;;;12.5;13.1;13.8;12.1;11.4;12.8;14.7;19.1;22.6;25.0;26.9
"Процентные расходы, млрд руб";;;;;;3.16;4.62;6.20;5.49;6.50;6.40;8.06;16.7;22.1;30.2;38.2
"Активы, млрд руб";;;;;;210.3;251.9;251.6;259.5;264.8;282.4;348.9;416.2;475.6;548.7;571.0
"Чистые активы, млрд руб";;;;60.3;65.8;68.0;68.5;77.7;84.4;83.9;91.7;92.8;96.7;118.6;140.4;120.8
"Долг, млрд руб";;;;34.1;27.4;32.9;55.6;72.8;86.1;89.6;102.6;169.3;215.1;224.1;257.0;288.8
"Наличность, млрд руб";;;;5.90;25.3;20.4;25.6;29.7;55.8;66.9;85.8;100.5;101.6;172.5;184.2;194.4
"Чистый долг, млрд руб";0.00;0.00;0.00;28.2;2.09;12.4;29.9;43.1;30.3;22.8;16.8;68.8;113.5;51.6;72.8;94.4
"Цена акции ао, руб";"1 028";454.0;562.0;611.0;458.0;673.0;952.0;826.5;597.8;764.0;870.8;609.2;462.6;650.0;835.4;686.8
"Число акций ао, млн";103.0;103.0;103.0;103.0;103.0;103.0;103.0;103.0;100.2;100.2;100.2;100.2;103.0;103.0;103.0;103.0
"Free Float, %";;;;;;32.0%;32.3%;34.5%;31.9%;41.6%;41.7%;;25.2%;24.0%;25.0%;24.0%
"Капитализация, млрд руб";105.9;46.8;57.9;63.0;47.2;69.3;98.1;85.2;59.9;76.6;87.3;61.1;47.7;67.0;86.1;70.8
"EV, млрд руб";105.9;46.8;57.9;91.1;49.3;81.8;128.0;128.2;90.2;99.3;104.1;129.9;161.1;118.6;158.9;165.2
"Баланс стоимость, млрд руб";0.00;0.00;0.00;60.3;65.8;63.6;64.1;73.4;80.3;79.9;87.7;88.6;92.5;115.0;136.8;117.1
"EPS, руб";0.00;23.6;47.7;32.0;89.3;103.3;88.9;154.0;161.9;74.5;120.0;162.3;129.7;275.2;277.6;210.4
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;-86.5;-68.6;-47.2;210.4;127.3;-11.3;-281.3;-432.2;174.7;-538.7;-703.3
"BV/акцию, руб";0.00;0.00;0.00;585.0;639.1;617.5;622.6;712.7;800.9;797.1;875.0;883.6;897.7;"1 117";"1 328";"1 137"
"Рентаб EBITDA, %";;19.8%;20.4%;19.5%;22.9%;21.5%;18.1%;18.2%;24.9%;19.0%;23.2%;27.4%;27.6%;32.9%;30.2%;29.5%
"Чистая рентаб, %";;4.7%;8.0%;5.5%;10.0%;12.3%;8.6%;11.5%;11.1%;6.8%;10.2%;12.5%;9.6%;12.0%;12.0%;8.7%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;-12.9%;-7.2%;-5.7%;35.2%;16.7%;-1.3%;-46.2%;-93.4%;26.9%;-64.5%;-102.4%
"ROE, %";;;;5.5%;14.0%;15.7%;13.4%;20.4%;19.2%;8.9%;13.1%;17.5%;13.8%;23.9%;20.4%;17.9%
"ROA, %";;;;;;5.1%;3.6%;6.3%;6.3%;2.8%;4.3%;4.7%;3.2%;6.0%;5.2%;3.8%
P/E;;19.2;11.8;19.1;5.13;6.51;10.7;5.37;3.69;10.3;7.26;3.75;3.57;2.36;3.01;3.26
P/FCF;;;;;;-7.78;-13.9;-17.5;2.84;6.00;-76.8;-2.17;-1.07;3.72;-1.55;-0.98
P/S;;0.90;0.95;1.05;0.51;0.80;0.92;0.61;0.41;0.69;0.74;0.47;0.34;0.28;0.36;0.28
P/BV;;;;1.04;0.72;1.09;1.53;1.16;0.75;0.96;1.00;0.69;0.52;0.58;0.63;0.60
EV/EBITDA;;4.55;4.65;7.77;2.33;4.39;6.63;5.08;2.48;4.72;3.80;3.63;4.18;1.53;2.20;2.23
Долг/EBITDA;;0.00;0.00;2.40;0.10;0.67;1.55;1.71;0.83;1.08;0.61;1.92;2.94;0.66;1.01;1.28
"Персонал, чел";;;;;;;;;;;"9 453";"9 934";"10 134";"9 612";"9 686";
"Производительность труда, млн руб/чел/год";;;;;;;;;;;12.5;13.1;13.8;24.6;24.7;
"Расходы/чел/год, тыс.р";;;;;;;;;;;"1 349";"1 483";"1 885";"2 351";"2 581";
"R&D/CAPEX, %";;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;0%;0%;0%;0%;4%;3%;1%;1%;1%;2%;5%;4%;5%;8%;9%
"IR рейтинг";;;;;;;;;;;;;3.1;2.0;2.0;2.0
"Качество фин.отчетности";;;;;;;;;;;;;4;4;4;4
"Презентации для инвесторов";;;;;;;;;;;;;1;1;1;1
"Присутствие на смартлабе";;;;;;;;;;;;;1;1;1;1
"Годовой отчет";;;;;;;;;;;;;5;5;5;5
"Сайт для инвесторов";;;;;;;;;;;;;4;1;1;1
"Календарь инвесторов";;;;;;;;;;;;;2;1;1;1
"Обратная связь";;;;;;;;;;;;;5;1;1;1
